,Cage,MOUSE_ID,SEX,%P/%C/%F,Diet,ENERGY_DENSITY,Date_of_Arrival,Date_of_Death/collection,Mode_of_death,status 1=dead; 2=alive,age at death (w),Arrival.wave,%P,Dry weight food eaten (g/mouse/cage/d),Cellulose intake (g/d),P eaten (kJ/mse/cage/d),C eaten (kJ/mse/cage/d),F eaten (kJ/mse/cage/d),Energy intake (kJ/mse/cage/d),Arrival wave,Energy density
292,165,1,M,5/48/48,SF09-060,HIGH,20-Nov-09,19-Mar-12,fd,1,124,Second,5,2.44,0.42,2.05,19.61,19.61,41.27,Second,3.0
293,165,3,M,5/48/48,SF09-060,HIGH,20-Nov-09,27-Feb-12,fd,1,121,Second,5,2.44,0.42,2.05,19.61,19.61,41.27,Second,3.0
294,166,1,F,5/48/48,SF09-060,HIGH,20-Nov-09,31-May-12,fd,1,135,Second,5,2.61,0.44,2.19,20.95,20.95,44.09,Second,3.0
295,166,3,F,5/48/48,SF09-060,HIGH,20-Nov-09,26-Mar-12,fd,1,125,Second,5,2.61,0.44,2.19,20.95,20.95,44.09,Second,3.0
296,167,1,M,14/29/57,SF09-063,HIGH,20-Nov-09,19-Nov-11,fd,1,107,Second,14,3.49,0.84,8.19,16.94,33.3,58.44,Second,3.0
297,167,3,M,14/29/57,SF09-063,HIGH,20-Nov-09,25-Nov-11,fd,1,108,Second,14,3.49,0.84,8.19,16.94,33.3,58.44,Second,3.0
298,168,1,F,14/29/57,SF09-063,HIGH,20-Nov-09,14-Sep-11,fd,1,98,Second,14,,,,,,,,
299,169,1,M,14/57/29,SF09-066,HIGH,20-Nov-09,2012-07-14,fd? Midpoint between Bwt taken,1,141,Second,14,2.85,0.14,6.68,27.16,13.81,47.65,Second,3.0
300,169,3,M,14/57/29,SF09-066,HIGH,20-Nov-09,21-May-12,fd,1,133,Second,14,2.85,0.14,6.68,27.16,13.81,47.65,Second,3.0
301,170,1,F,14/57/29,SF09-066,HIGH,20-Nov-09,25-Oct-11,fd,1,104,Second,14,2.31,0.12,5.42,22.04,11.21,38.68,Second,3.0
302,170,3,F,14/57/29,SF09-066,HIGH,20-Nov-09,08-May-12,fd,1,132,Second,14,2.31,0.12,5.42,22.04,11.21,38.68,Second,3.0
303,171,1,M,42/29/29,SF09-069,HIGH,20-Nov-09,2012-09-19,fd,1,151,Second,42,,,,,,,,
304,171,2,M,42/29/29,SF09-069,HIGH,20-Nov-09,2012-08-02,fd,1,144,Second,42,,,,,,,,
305,172,1,F,42/29/29,SF09-069,HIGH,20-Nov-09,2012-08-06,fd,1,144,Second,42,2.14,0.11,15.05,10.38,10.38,35.81,Second,3.0
306,172,3,F,42/29/29,SF09-069,HIGH,20-Nov-09,28-Jun-12,fd,1,139,Second,42,2.14,0.11,15.05,10.38,10.38,35.81,Second,3.0
307,173,1,M,23/38/38,SF09-072,HIGH,20-Nov-09,04-Jul-11,fd,1,87,Second,23,3.41,0.41,13.16,21.7,21.7,56.55,Second,3.0
308,173,3,M,23/38/38,SF09-072,HIGH,20-Nov-09,10-Nov-11,fd,1,106,Second,23,3.41,0.41,13.16,21.7,21.7,56.55,Second,3.0
309,174,1,F,23/38/38,SF09-072,HIGH,20-Nov-09,19-Sep-11,fd,1,98,Second,23,2.78,0.33,10.72,17.68,17.68,46.07,Second,3.0
310,174,3,F,23/38/38,SF09-072,HIGH,20-Nov-09,28-Jul-11,fd,1,91,Second,23,2.78,0.33,10.72,17.68,17.68,46.07,Second,3.0
311,175,1,M,60/20/20,SF09-043,LOW,20-Nov-09,05-Mar-11,fd canna,1,70,Second,60,,,,,,,,
312,175,2,M,60/20/20,SF09-043,LOW,20-Nov-09,06-Dec-10,fd,1,57,Second,60,,,,,,,,
313,175,3,M,60/20/20,SF09-043,LOW,20-Nov-09,27-Jun-11,fd,1,86,Second,60,,,,,,,,
314,176,2,F,60/20/20,SF09-043,LOW,20-Nov-09,12-Jun-11,fd,1,84,Second,60,,,,,,,,
315,176,3,F,60/20/20,SF09-043,LOW,20-Nov-09,12-Jun-11,fd,1,84,Second,60,,,,,,,,
316,179,2,M,33/47/20,SF09-052,LOW,20-Nov-09,20-May-12,fd,1,133,Second,33,,,,,,,,
317,179,3,M,33/47/20,SF09-052,LOW,20-Nov-09,15-Jan-12,fd,1,115,Second,33,,,,,,,,
318,180,1,F,33/47/20,SF09-052,LOW,20-Nov-09,17-May-12,fd,1,133,Second,33,,,,,,,,
319,180,2,F,33/47/20,SF09-052,LOW,20-Nov-09,30-Jan-12,fd,1,117,Second,33,,,,,,,,
320,180,3,F,33/47/20,SF09-052,LOW,20-Nov-09,29-May-10,fd,1,30,Second,33,,,,,,,,
321,181,1,M,33/20/47,SF09-055,LOW,20-Nov-09,30-Jan-11,fd canna,1,65,Second,33,,,,,,,,
322,181,2,M,33/20/47,SF09-055,LOW,20-Nov-09,18-Mar-11,fd,1,72,Second,33,,,,,,,,
323,181,3,M,33/20/47,SF09-055,LOW,20-Nov-09,25-Apr-11,fd,1,77,Second,33,,,,,,,,
324,182,1,F,33/20/47,SF09-055,LOW,20-Nov-09,26-Feb-11,fd canna,1,69,Second,33,3.36,1.88,9.28,5.62,13.48,28.38,Second,1.0
325,182,3,F,33/20/47,SF09-055,LOW,20-Nov-09,22-May-11,fd,1,81,Second,33,3.36,1.88,9.28,5.62,13.48,28.38,Second,1.0
326,183,1,M,14/29/57,SF09-061,LOW,20-Nov-09,16-May-11,fd,1,80,Second,14,,,,,,,,
327,183,2,M,14/29/57,SF09-061,LOW,20-Nov-09,17-May-11,fd,1,81,Second,14,,,,,,,,
328,184,1,F,14/29/57,SF09-061,LOW,20-Nov-09,06-Jun-11,fd,1,83,Second,14,3.67,2.2,4.31,8.92,17.53,30.76,Second,1.0
329,184,3,F,14/29/57,SF09-061,LOW,20-Nov-09,19-Aug-11,fd,1,94,Second,14,3.67,2.2,4.31,8.92,17.53,30.76,Second,1.0
330,185,1,M,14/57/29,SF09-064,LOW,20-Nov-09,17-Jul-11,fd,1,89,Second,14,,,,,,,,
331,185,2,M,14/57/29,SF09-064,LOW,20-Nov-09,06-Apr-10,fd,1,23,Second,14,,,,,,,,
332,185,3,M,14/57/29,SF09-064,LOW,20-Nov-09,14-Apr-12,cann,1,128,Second,14,,,,,,,,
333,186,1,F,14/57/29,SF09-064,LOW,20-Nov-09,22-Sep-11,fd,1,99,Second,14,3.77,1.93,4.43,18.0,9.16,31.6,Second,1.0
334,186,3,F,14/57/29,SF09-064,LOW,20-Nov-09,20-Sep-11,fd,1,99,Second,14,3.77,1.93,4.43,18.0,9.16,31.6,Second,1.0
335,187,1,M,42/29/29,SF09-067,LOW,20-Nov-09,17-Jul-11,cann,1,89,Second,42,4.33,2.21,15.24,10.5,10.5,36.24,Second,1.0
336,187,3,M,42/29/29,SF09-067,LOW,20-Nov-09,30-Jul-11,fd,1,91,Second,42,4.33,2.21,15.24,10.5,10.5,36.24,Second,1.0
337,188,1,F,42/29/29,SF09-067,LOW,20-Nov-09,15-Aug-11,fd,1,93,Second,42,3.92,2.0,13.8,9.51,9.51,32.83,Second,1.0
338,188,3,F,42/29/29,SF09-067,LOW,20-Nov-09,04-Apr-11,fd cage 118.2,1,74,Second,42,3.92,2.0,13.8,9.51,9.51,32.83,Second,1.0
339,189,1,M,23/38/38,SF09-070,LOW,20-Nov-09,17-Jul-11,FD,1,89,Second,23,3.87,2.09,7.45,12.29,12.29,32.03,Second,1.0
340,189,3,M,23/38/38,SF09-070,LOW,20-Nov-09,17-Jul-11,fd,1,89,Second,23,3.87,2.09,7.45,12.29,12.29,32.03,Second,1.0
341,190,3,F,23/38/38,SF09-070,LOW,20-Nov-09,17-Jul-11,fd,1,89,Second,23,3.76,2.03,7.24,11.95,11.95,31.13,Second,1.0
342,191,1,M,60/20/20,SF09-044,MED,13-May-10,14-Apr-12,fd,1,103,Third,60,3.61,0.83,27.25,9.07,9.07,45.39,Third,2.0
343,191,3,M,60/20/20,SF09-044,MED,13-May-10,05-Mar-12,fd,1,98,Third,60,3.61,0.83,27.25,9.07,9.07,45.39,Third,2.0
344,192,1,F,60/20/20,SF09-044,MED,13-May-10,19-Mar-12,fd,1,100,Third,60,2.14,0.49,16.11,5.36,5.36,26.84,Third,2.0
345,192,3,F,60/20/20,SF09-044,MED,13-May-10,28-Jun-12,fd,1,114,Third,60,2.14,0.49,16.11,5.36,5.36,26.84,Third,2.0
346,193,1,M,5/75/20,SF09-047,MED,13-May-10,30-Jan-11,fd,1,40,Third,5,,,,,,,,
347,193,2,M,5/75/20,SF09-047,MED,13-May-10,13-Jun-12,fd,1,112,Third,5,,,,,,,,
348,193,3,M,5/75/20,SF09-047,MED,13-May-10,2013-02-04,fd,1,146,Third,5,,,,,,,,
349,194,1,F,5/75/20,SF09-047,MED,13-May-10,2013-01-12,fd,1,142,Third,5,2.68,0.64,1.69,25.24,6.73,33.66,Third,2.0
350,194,3,F,5/75/20,SF09-047,MED,13-May-10,17-Jan-12,fd,1,91,Third,5,2.68,0.64,1.69,25.24,6.73,33.66,Third,2.0
351,195,1,M,33/47/20,SF09-053,MED,13-May-10,26-Sep-11,? Fd,1,75,Third,33,2.72,0.63,11.29,16.4,6.83,34.53,Third,2.0
352,195,3,M,33/47/20,SF09-053,MED,13-May-10,2013-01-25,fd,1,144,Third,33,2.72,0.63,11.29,16.4,6.83,34.53,Third,2.0
353,196,1,F,33/47/20,SF09-053,MED,13-May-10,2012-08-22,fd,1,122,Third,33,2.42,0.56,10.04,14.59,6.08,30.7,Third,2.0
354,196,3,F,33/47/20,SF09-053,MED,13-May-10,03-May-12,fd,1,106,Third,33,2.42,0.56,10.04,14.59,6.08,30.7,Third,2.0
355,197,1,M,33/20/47,SF09-056,MED,13-May-10,2012-08-24,fd,1,122,Third,33,3.09,1.14,12.81,7.75,18.6,39.16,Third,2.0
356,197,3,M,33/20/47,SF09-056,MED,13-May-10,07-May-12,fd,1,107,Third,33,3.09,1.14,12.81,7.75,18.6,39.16,Third,2.0
357,198,1,F,33/20/47,SF09-056,MED,13-May-10,20-Jun-11,cann,1,61,Third,33,,,,,,,,
358,198,2,F,33/20/47,SF09-056,MED,13-May-10,01-Jun-12,fd,1,110,Third,33,,,,,,,,
359,198,3,F,33/20/47,SF09-056,MED,13-May-10,04-Jun-12,fd,1,111,Third,33,,,,,,,,
360,199,1,M,14/29/57,SF09-062,MED,13-May-10,03-May-12,fd,1,106,Third,14,,,,,,,,
361,199,3,M,14/29/57,SF09-062,MED,13-May-10,2012-10-15,fd,1,130,Third,14,,,,,,,,
362,200,1,F,14/29/57,SF09-062,MED,13-May-10,16-Jul-12,fd,1,117,Third,14,3.81,1.6,6.71,13.88,27.28,47.87,Third,2.0
363,200,3,F,14/29/57,SF09-062,MED,13-May-10,01-Nov-11,fd,1,80,Third,14,3.81,1.6,6.71,13.88,27.28,47.87,Third,2.0
364,201,1,M,14/57/29,SF09-065,MED,13-May-10,2012-08-06,fd,1,120,Third,14,3.06,0.86,5.39,21.93,11.16,38.48,Third,2.0
365,201,3,M,14/57/29,SF09-065,MED,13-May-10,2012-07-09,fd,1,116,Third,14,3.06,0.86,5.39,21.93,11.16,38.48,Third,2.0
366,202,1,F,14/57/29,SF09-065,MED,13-May-10,25-Jun-12,fd,1,114,Third,14,2.41,0.68,4.25,17.27,8.79,30.3,Third,2.0
367,202,3,F,14/57/29,SF09-065,MED,13-May-10,2012-09-20,fd,1,126,Third,14,2.41,0.68,4.25,17.27,8.79,30.3,Third,2.0
368,203,1,M,42/29/29,SF09-068,MED,13-May-10,2012-10-22,fd,1,131,Third,42,2.49,0.7,13.17,9.08,9.08,31.33,Third,2.0
369,203,3,M,42/29/29,SF09-068,MED,13-May-10,16-Jul-12,fd,1,117,Third,42,2.49,0.7,13.17,9.08,9.08,31.33,Third,2.0
370,204,1,F,42/29/29,SF09-068,MED,13-May-10,2013-01-12,fd,1,142,Third,42,2.31,0.65,12.21,8.42,8.42,29.05,Third,2.0
371,204,3,F,42/29/29,SF09-068,MED,13-May-10,2012-07-26,fd,1,118,Third,42,2.31,0.65,12.21,8.42,8.42,29.05,Third,2.0
372,205,1,M,23/38/38,SF09-071,MED,13-May-10,2012-08-16,fd,1,121,Third,23,2.91,0.96,8.42,13.88,13.88,36.18,Third,2.0
373,205,3,M,23/38/38,SF09-071,MED,13-May-10,17-Mar-12,fd,1,99,Third,23,2.91,0.96,8.42,13.88,13.88,36.18,Third,2.0
374,206,1,F,23/38/38,SF09-071,MED,13-May-10,2012-10-15,fd,1,130,Third,23,2.76,0.91,7.99,13.18,13.18,34.36,Third,2.0
375,206,3,F,23/38/38,SF09-071,MED,13-May-10,2012-10-15,fd,1,130,Third,23,2.76,0.91,7.99,13.18,13.18,34.36,Third,2.0
376,207,1,M,60/20/20,SF09-045,HIGH,13-May-10,2012-07-30,fd,1,119,Third,60,2.16,0.0,21.71,7.22,7.22,36.16,Third,3.0
377,207,3,M,60/20/20,SF09-045,HIGH,13-May-10,23-Sep-11,fd,1,74,Third,60,2.16,0.0,21.71,7.22,7.22,36.16,Third,3.0
378,208,1,F,60/20/20,SF09-045,HIGH,13-May-10,02-May-12,fd,1,106,Third,60,2.22,0.0,22.28,7.41,7.41,37.11,Third,3.0
379,208,3,F,60/20/20,SF09-045,HIGH,13-May-10,20-Oct-11,fd,1,78,Third,60,2.22,0.0,22.28,7.41,7.41,37.11,Third,3.0
380,209,1,M,5/75/20,SF09-048,HIGH,13-May-10,2012-07-30,fd,1,119,Third,5,2.38,0.0,1.99,29.82,7.95,39.77,Third,3.0
381,209,3,M,5/75/20,SF09-048,HIGH,13-May-10,2012-10-14,fd,1,129,Third,5,2.38,0.0,1.99,29.82,7.95,39.77,Third,3.0
382,210,1,F,5/75/20,SF09-048,HIGH,13-May-10,2012-10-15,fd,1,130,Third,5,,,,,,,,
383,210,2,F,5/75/20,SF09-048,HIGH,13-May-10,25-May-12,fd,1,109,Third,5,,,,,,,,
384,211,1,M,5/20/75,SF09-051,HIGH,13-May-10,13-Jul-12,fd,1,116,Third,5,,,,,,,,
385,211,2,M,5/20/75,SF09-051,HIGH,13-May-10,14-Jun-10,canna,1,8,Third,5,,,,,,,,
386,211,3,M,5/20/75,SF09-051,HIGH,13-May-10,13-Jul-12,fd,1,116,Third,5,,,,,,,,
387,212,1,F,5/20/75,SF09-051,HIGH,13-May-10,13-Sep-10,fd canna,1,21,Third,5,,,,,,,,
388,212,2,F,5/20/75,SF09-051,HIGH,13-May-10,20-May-10,fd,1,4,Third,5,,,,,,,,
389,212,3,F,5/20/75,SF09-051,HIGH,13-May-10,2013-01-08,fd,1,142,Third,5,,,,,,,,
390,213,1,M,33/47/20,SF09-054,HIGH,13-May-10,2013-01-07,fd,1,142,Third,33,1.96,0.0,10.84,15.74,6.56,33.13,Third,3.0
391,213,3,M,33/47/20,SF09-054,HIGH,13-May-10,2012-07-27,fd,1,118,Third,33,1.96,0.0,10.84,15.74,6.56,33.13,Third,3.0
392,214,1,F,33/47/20,SF09-054,HIGH,13-May-10,07-Nov-11,fd,1,81,Third,33,1.92,0.0,10.64,15.45,6.44,32.54,Third,3.0
393,214,3,F,33/47/20,SF09-054,HIGH,13-May-10,02-Feb-12,fd,1,93,Third,33,1.92,0.0,10.64,15.45,6.44,32.54,Third,3.0
394,215,1,M,33/20/47,SF09-057,HIGH,13-May-10,02-Mar-12,fd,1,97,Third,33,2.62,0.45,14.52,8.78,21.08,44.39,Third,3.0
395,215,3,M,33/20/47,SF09-057,HIGH,13-May-10,02-Apr-12,fd,1,102,Third,33,2.62,0.45,14.52,8.78,21.08,44.39,Third,3.0
396,216,1,F,33/20/47,SF09-057,HIGH,13-May-10,22-Nov-11,fd,1,83,Third,33,2.17,0.37,11.98,7.25,17.4,36.63,Third,3.0
397,216,3,F,33/20/47,SF09-057,HIGH,13-May-10,19-Sep-11,cann,1,74,Third,33,2.17,0.37,11.98,7.25,17.4,36.63,Third,3.0
398,217,1,M,5/48/48,SF09-060,HIGH,13-May-10,30-Jan-12,fd,1,93,Third,5,2.57,0.44,2.15,20.65,20.65,43.46,Third,3.0
399,217,3,M,5/48/48,SF09-060,HIGH,13-May-10,13-Jul-12,fd,1,116,Third,5,2.57,0.44,2.15,20.65,20.65,43.46,Third,3.0
400,218,1,F,5/48/48,SF09-060,HIGH,13-May-10,30-Jan-12,fd,1,93,Third,5,2.69,0.46,2.26,21.65,21.65,45.55,Third,3.0
401,218,3,F,5/48/48,SF09-060,HIGH,13-May-10,2013-02-04,fd,1,146,Third,5,2.69,0.46,2.26,21.65,21.65,45.55,Third,3.0
402,219,1,M,14/29/57,SF09-063,HIGH,20-May-10,13-Apr-12,fd,1,102,Third,14,2.78,0.67,6.53,13.51,26.56,46.6,Third,3.0
403,219,3,M,14/29/57,SF09-063,HIGH,20-May-10,2013-01-07,fd,1,141,Third,14,2.78,0.67,6.53,13.51,26.56,46.6,Third,3.0
404,220,1,F,14/29/57,SF09-063,HIGH,13-May-10,2012-07-19,fd,1,117,Third,14,2.92,0.7,6.85,14.16,27.84,48.85,Third,3.0
405,220,3,F,14/29/57,SF09-063,HIGH,13-May-10,21-May-12,fd,1,109,Third,14,2.92,0.7,6.85,14.16,27.84,48.85,Third,3.0
406,221,1,M,14/57/29,SF09-066,HIGH,20-May-10,20-Feb-12,fd,1,95,Third,14,2.45,0.12,5.75,23.36,11.88,40.99,Third,3.0
407,221,3,M,14/57/29,SF09-066,HIGH,20-May-10,16-Jul-12,fd,1,116,Third,14,2.45,0.12,5.75,23.36,11.88,40.99,Third,3.0
408,222,1,F,14/57/29,SF09-066,HIGH,13-May-10,2012-10-14,fd,1,129,Third,14,2.0,0.1,4.68,19.04,9.69,33.42,Third,3.0
409,222,3,F,14/57/29,SF09-066,HIGH,13-May-10,2012-08-06,fd,1,120,Third,14,2.0,0.1,4.68,19.04,9.69,33.42,Third,3.0
410,223,1,M,42/29/29,SF09-069,HIGH,20-May-10,2012-10-29,fd,1,131,Third,42,2.25,0.11,15.85,10.92,10.92,37.69,Third,3.0
411,223,3,M,42/29/29,SF09-069,HIGH,20-May-10,2012-10-23,fd,1,130,Third,42,2.25,0.11,15.85,10.92,10.92,37.69,Third,3.0
412,224,1,F,42/29/29,SF09-069,HIGH,20-May-10,31-Oct-11,fd,1,79,Third,42,1.81,0.09,12.75,8.79,8.79,30.32,Third,3.0
413,224,3,F,42/29/29,SF09-069,HIGH,20-May-10,29-Oct-11,fd,1,78,Third,42,1.81,0.09,12.75,8.79,8.79,30.32,Third,3.0
414,225,1,M,23/38/38,SF09-072,HIGH,20-May-10,04-Dec-11,fd,1,83,Third,23,2.49,0.3,9.58,15.81,15.81,41.19,Third,3.0
415,225,3,M,23/38/38,SF09-072,HIGH,20-May-10,29-Aug-11,FD,1,70,Third,23,2.49,0.3,9.58,15.81,15.81,41.19,Third,3.0
416,226,1,F,23/38/38,SF09-072,HIGH,20-May-10,19-Aug-11,cann,1,68,Third,23,1.93,0.23,7.46,12.31,12.31,32.07,Third,3.0
417,226,3,F,23/38/38,SF09-072,HIGH,20-May-10,09-Dec-11,fd,1,84,Third,23,1.93,0.23,7.46,12.31,12.31,32.07,Third,3.0
418,227,1,M,60/20/20,SF09-043,LOW,20-May-10,12-Jun-11,cann,1,58,Third,60,,,,,,,,
419,227,2,M,60/20/20,SF09-043,LOW,20-May-10,15-Jul-11,fd,1,63,Third,60,,,,,,,,
420,227,3,M,60/20/20,SF09-043,LOW,20-May-10,14-Jul-11,cann,1,63,Third,60,,,,,,,,
421,228,1,F,60/20/20,SF09-043,LOW,20-May-10,27-Jun-11,fd,1,61,Third,60,,,,,,,,
422,228,2,F,60/20/20,SF09-043,LOW,20-May-10,19-May-11,cann,1,55,Third,60,,,,,,,,
423,228,3,F,60/20/20,SF09-043,LOW,20-May-10,2011-05-27,fd canna,1,56,Third,60,,,,,,,,
424,229,1,M,33/47/20,SF09-052,LOW,20-May-10,07-Nov-11,fd,1,80,Third,33,3.65,1.72,10.1,14.67,6.11,30.89,Third,1.0
425,229,3,M,33/47/20,SF09-052,LOW,20-May-10,2012-08-06,fd,1,119,Third,33,3.65,1.72,10.1,14.67,6.11,30.89,Third,1.0
426,230,1,F,33/47/20,SF09-052,LOW,20-May-10,30-Jan-12,fd,1,92,Third,33,3.23,1.52,8.93,12.97,5.4,27.3,Third,1.0
427,230,3,F,33/47/20,SF09-052,LOW,20-May-10,2012-08-06,fd,1,119,Third,33,3.23,1.52,8.93,12.97,5.4,27.3,Third,1.0
428,231,1,M,33/20/47,SF09-055,LOW,20-May-10,15-May-11,fd,1,54,Third,33,,,,,,,,
429,231,2,M,33/20/47,SF09-055,LOW,20-May-10,15-May-11,fd,1,54,Third,33,,,,,,,,
430,232,1,F,33/20/47,SF09-055,LOW,20-May-10,14-Mar-11,fd,1,46,Third,33,,,,,,,,
431,232,2,F,33/20/47,SF09-055,LOW,20-May-10,2012-12-06,fd,1,136,Third,33,,,,,,,,
432,232,3,F,33/20/47,SF09-055,LOW,20-May-10,14-Mar-11,fd,1,46,Third,33,,,,,,,,
433,233,1,M,14/29/57,SF09-061,LOW,20-May-10,05-Mar-12,fd,1,97,Third,14,,,,,,,,
434,233,2,M,14/29/57,SF09-061,LOW,20-May-10,09-Feb-11,fd,1,41,Third,14,,,,,,,,
435,233,3,M,14/29/57,SF09-061,LOW,20-May-10,03-May-11,fd,1,53,Third,14,,,,,,,,
436,234,1,F,14/29/57,SF09-061,LOW,20-May-10,22-Sep-11,fd,1,73,Third,14,2.89,1.73,3.39,7.02,13.79,24.2,Third,1.0
437,234,3,F,14/29/57,SF09-061,LOW,20-May-10,2012-08-27,fd,1,122,Third,14,2.89,1.73,3.39,7.02,13.79,24.2,Third,1.0
438,235,1,M,14/57/29,SF09-064,LOW,20-May-10,26-Aug-11,fd,1,69,Third,14,3.54,1.8,4.15,16.88,8.59,29.62,Third,1.0
439,235,3,M,14/57/29,SF09-064,LOW,20-May-10,02-Sep-11,fd,1,70,Third,14,3.54,1.8,4.15,16.88,8.59,29.62,Third,1.0
440,236,1,F,14/57/29,SF09-064,LOW,20-May-10,21-Jan-12,fd,1,90,Third,14,3.19,1.63,3.75,15.22,7.74,26.71,Third,1.0
441,236,3,F,14/57/29,SF09-064,LOW,20-May-10,28-May-12,fd,1,109,Third,14,3.19,1.63,3.75,15.22,7.74,26.71,Third,1.0
442,237,1,M,42/29/29,SF09-067,LOW,20-May-10,19-Sep-11,fd,1,73,Third,42,,,,,,,,
443,237,2,M,42/29/29,SF09-067,LOW,20-May-10,15-Aug-11,cann,1,68,Third,42,,,,,,,,
444,237,3,M,42/29/29,SF09-067,LOW,20-May-10,09-May-11,canna,1,54,Third,42,,,,,,,,
445,238,1,F,42/29/29,SF09-067,LOW,20-May-10,30-Jul-11,cann,1,65,Third,42,2.99,1.52,10.51,7.25,7.25,25.0,Third,1.0
446,238,3,F,42/29/29,SF09-067,LOW,20-May-10,30-Aug-11,fd,1,70,Third,42,2.99,1.52,10.51,7.25,7.25,25.0,Third,1.0
447,239,1,M,23/38/38,SF09-070,LOW,20-May-10,02-Jul-11,fd,1,61,Third,23,,,,,,,,
448,239,2,M,23/38/38,SF09-070,LOW,20-May-10,02-Jul-11,fd,1,61,Third,23,,,,,,,,
449,239,3,M,23/38/38,SF09-070,LOW,20-May-10,06-Aug-11,fd,1,66,Third,23,,,,,,,,
450,240,1,F,23/38/38,SF09-070,LOW,20-May-10,23-May-11,cann,1,56,Third,23,,,,,,,,
451,240,2,F,23/38/38,SF09-070,LOW,20-May-10,23-Jun-11,cann,1,60,Third,23,,,,,,,,
452,240,3,F,23/38/38,SF09-070,LOW,20-May-10,01-Aug-11,fd,1,66,Third,23,,,,,,,,
453,241,1,M,60/20/20,SF09-044,MED,20-May-10,22-Nov-11,fd,1,82,Third,60,,,,,,,,
454,241,2,M,60/20/20,SF09-044,MED,20-May-10,02-Dec-10,fd,1,31,Third,60,,,,,,,,
455,241,3,M,60/20/20,SF09-044,MED,20-May-10,29-Feb-12,fd,1,96,Third,60,,,,,,,,
456,242,1,F,60/20/20,SF09-044,MED,20-May-10,08-Dec-10,FD,1,32,Third,60,,,,,,,,
457,242,2,F,60/20/20,SF09-044,MED,20-May-10,2012-07-27,fd,1,117,Third,60,,,,,,,,
458,242,3,F,60/20/20,SF09-044,MED,20-May-10,2012-10-12,fd,1,128,Third,60,,,,,,,,
459,243,1,M,5/75/20,SF09-047,MED,20-May-10,2012-11-08,fd,1,132,Third,5,2.96,0.71,1.86,27.85,7.42,37.13,Third,2.0
460,243,3,M,5/75/20,SF09-047,MED,20-May-10,2012-12-13,fd,1,137,Third,5,2.96,0.71,1.86,27.85,7.42,37.13,Third,2.0
461,244,1,F,5/75/20,SF09-047,MED,20-May-10,06-Feb-12,fd,1,93,Third,5,2.69,0.65,1.69,25.31,6.75,33.75,Third,2.0
462,244,3,F,5/75/20,SF09-047,MED,20-May-10,2012-07-19,fd,1,116,Third,5,2.69,0.65,1.69,25.31,6.75,33.75,Third,2.0
463,245,1,M,33/47/20,SF09-053,MED,20-May-10,2013-01-26,fd,1,143,Third,33,,,,,,,,
464,245,2,M,33/47/20,SF09-053,MED,20-May-10,27-Feb-12,fd,1,96,Third,33,,,,,,,,
465,245,3,M,33/47/20,SF09-053,MED,20-May-10,07-Jul-11,fd,1,62,Third,33,,,,,,,,
466,246,1,F,33/47/20,SF09-053,MED,20-May-10,26-Apr-12,fd,1,104,Third,33,2.49,0.57,10.33,15.0,6.25,31.57,Third,2.0
467,246,3,F,33/47/20,SF09-053,MED,20-May-10,2012-11-19,fd,1,134,Third,33,2.49,0.57,10.33,15.0,6.25,31.57,Third,2.0
468,247,1,M,33/20/47,SF09-056,MED,27-May-10,2012-11-12,fd,1,132,Third,33,2.9,1.07,12.01,7.27,17.45,36.73,Third,2.0
469,247,3,M,33/20/47,SF09-056,MED,27-May-10,2012-11-14,fd,1,132,Third,33,2.9,1.07,12.01,7.27,17.45,36.73,Third,2.0
470,248,1,F,33/20/47,SF09-056,MED,20-May-10,20-May-12,fd,1,107,Third,33,2.74,1.01,11.35,6.87,16.48,34.69,Third,2.0
471,248,3,F,33/20/47,SF09-056,MED,20-May-10,15-Sep-11,cann,1,72,Third,33,2.74,1.01,11.35,6.87,16.48,34.69,Third,2.0
472,249,1,M,14/29/57,SF09-062,MED,27-May-10,2013-01-26,fd,1,142,Third,14,,,,,,,,
473,249,2,M,14/29/57,SF09-062,MED,27-May-10,18-Jun-11,cann,1,58,Third,14,,,,,,,,
474,249,3,M,14/29/57,SF09-062,MED,27-May-10,2013-01-27,fd,1,142,Third,14,,,,,,,,
475,250,1,F,14/29/57,SF09-062,MED,20-May-10,09-Dec-11,fd,1,84,Third,14,3.4,1.43,5.99,12.38,24.34,42.72,Third,2.0
476,250,3,F,14/29/57,SF09-062,MED,20-May-10,09-Dec-11,fd,1,84,Third,14,3.4,1.43,5.99,12.38,24.34,42.72,Third,2.0
477,251,1,M,14/57/29,SF09-065,MED,27-May-10,2013-02-23,fd,1,146,Third,14,,,,,,,,
478,251,2,M,14/57/29,SF09-065,MED,27-May-10,21-Jun-12,fd,1,111,Third,14,,,,,,,,
479,252,1,F,14/57/29,SF09-065,MED,27-May-10,2012-10-24,fd canna,1,129,Third,14,2.61,0.73,4.6,18.7,9.51,32.81,Third,2.0
480,252,3,F,14/57/29,SF09-065,MED,27-May-10,2012-12-03,fd,1,135,Third,14,2.61,0.73,4.6,18.7,9.51,32.81,Third,2.0
481,253,1,F,42/29/29,SF09-068,MED,27-May-10,2012-10-14,fd,1,127,Third,42,,,,,,,,
482,253,2,F,42/29/29,SF09-068,MED,27-May-10,2013-01-27,fd,1,142,Third,42,,,,,,,,
